steam_id,alias
STEAM_0:0:25449209,Perey
STEAM_0:0:41810661,forgets
STEAM_0:0:20398498,Tery_S9NE
STEAM_0:1:29102893,misskay
STEAM_0:0:39910575,sv_n - using dvorak
STEAM_0:0:25008220,Niko Jims
STEAM_0:0:38251347,gennarocc
STEAM_0:0:32511568,Sleeping Life.TS
STEAM_0:1:42825263,davidb.TS
STEAM_0:0:22059701,dobb
STEAM_0:0:1470278,Cat of Fun!
STEAM_0:1:33802119,HUTCH lfts13
STEAM_0:1:24988118,foomp`still looking and shit
STEAM_0:1:26891688,mocha | teamfortress.tv
STEAM_0:0:33934616,elϟ`JimboSlice
STEAM_0:0:26229482,TWSS ϡpeace
STEAM_0:0:12101935,Simplicity
STEAM_0:1:42825263,davidb.TS
STEAM_0:0:22059701,dobb
STEAM_0:1:33850986,MiNi
STEAM_0:0:32511568,Sleeping Life.TS
STEAM_0:1:26979755,Dan Dead Or Alive
STEAM_0:1:24783156,preaster
STEAM_0:1:33802119,HUTCH lfts13
STEAM_0:0:32667808,L4wnflamingo! #LFT
STEAM_0:0:5440377,Nukeydog
STEAM_0:0:26229482,TWSS ϡpeace
STEAM_0:0:26223147,Rikachu
STEAM_0:0:25008220,Niko Jims
STEAM_0:0:41971270,Ringo Starr
STEAM_0:0:22590080,MultiClub7
STEAM_0:1:24365069,Joshin
STEAM_0:0:18759410,Blockᵀᴳ
STEAM_0:0:16966864,Yeeegz
STEAM_0:0:29272702,Spig
STEAM_0:0:3733896,FreAkweNtcY
STEAM_0:1:1272481,Abstand
STEAM_0:0:27450036,smobo
STEAM_0:0:41810661,forgets
STEAM_0:0:21606393,captin
STEAM_0:0:29017215,a duck
STEAM_0:0:20398498,Tery_S9NE
STEAM_0:0:18759410,Blockᵀᴳ
STEAM_0:0:22590080,MultiClub7
STEAM_0:0:29272702,Spig
STEAM_0:0:27450036,smobo
STEAM_0:0:21606393,captin
STEAM_0:0:41810661,forgets
STEAM_0:0:20398498,Tery_S9NE
STEAM_0:1:1272481,Abstand
STEAM_0:0:3733896,FreAkweNtcY
STEAM_0:1:24365069,Joshin
STEAM_0:0:16966864,Yeeegz
STEAM_0:0:29017215,a duck
STEAM_0:1:29145082,Colourr
STEAM_0:0:39976398,cocksucker23
STEAM_0:1:24950268,Obelix
STEAM_0:0:15986852,Rummy...I Did It
STEAM_0:0:46001131,±ngv± maplesyrup |AG
STEAM_0:0:6102634,Fry
STEAM_0:1:10466109,CHE_ lft?
STEAM_0:0:20328417,Geodude... I Did It
STEAM_0:0:27820048,spanker
STEAM_0:0:18527935,zzirMundyy... I Did It
STEAM_0:1:40502563,tsr.LazyPanda
STEAM_0:1:36984822,TSR | Vick
STEAM_0:0:38624147,Notaek...I did it
STEAM_0:0:49926288,addict! lacri
STEAM_0:0:5556948,CRS ( ͡° ͜ʖ ͡°)
STEAM_0:0:5038024,T4F | auki MD
STEAM_0:0:11468232,T4F | rIdEn
STEAM_0:1:5610781,crz
STEAM_0:1:20819706,addict. Keel
STEAM_0:0:32243848,addict! Heck ))
STEAM_0:0:6525758,LAME JohnnyBambo
STEAM_0:1:41043739,addict! Setsul
STEAM_0:1:40961043,äddi. Ninjuh
STEAM_0:1:30532339,addict! Raymus
STEAM_0:0:4172654,T4F | CanFo ♥ ETF2L.org
STEAM_0:1:19344397,.Lunacide
STEAM_0:0:23224229,Noodle
STEAM_0:0:9111892,Darkstar
STEAM_0:1:23595195,indust+
STEAM_0:0:26733772,Madoff
STEAM_0:1:25503487,.k.L
STEAM_0:1:15639615,||AG|| ClandestinePz
STEAM_0:1:38909806,JOE :3
STEAM_0:0:546579,=(eGO)= Wilson!!
STEAM_0:0:10173532,HeepHoP lfT
STEAM_0:1:24171148,You Must Mike d:)!!!.kwm ring
STEAM_0:0:5234969,Mumbo
STEAM_0:1:26791395,Gunblade
STEAM_0:0:9398582,Blasbo Babbins
STEAM_0:0:22906255,d1e`
STEAM_0:1:314299,FRRRREEEEE BIIIIIIIRRRRD!!!!!!!
STEAM_0:0:28370249,dubious
STEAM_0:1:31261157,stance
STEAM_0:0:19415161,if it aint lan i ain't playing
STEAM_0:1:20812995,[-ASG-] gamerous
STEAM_0:1:44157999,∋(°︵°)∈
STEAM_0:1:33808174,nast
STEAM_0:0:23744682,Smithsonian
STEAM_0:0:44766159,Macassar
STEAM_0:1:31261157,stance
STEAM_0:1:33808174,nast
STEAM_0:0:19415161,if it aint lan i ain't playing
STEAM_0:1:314299,FRRRREEEEE BIIIIIIIRRRRD!!!!!!!
STEAM_0:0:23744682,Smithsonian
STEAM_0:0:22906255,d1e`
STEAM_0:1:44157999,∋(°︵°)∈
STEAM_0:0:9398582,Blasbo Babbins
STEAM_0:1:26791395,Gunblade
STEAM_0:0:28370249,dubious
STEAM_0:1:20812995,[-ASG-] gamerous
STEAM_0:0:44766159,Macassar
STEAM_0:1:18284023,elem.v WAR
STEAM_0:0:18889814,elem.v e-thug
STEAM_0:1:17494569,Hildreth | logs.tf
STEAM_0:1:40009526,sheepy | logs.tf
STEAM_0:0:24507746,Ritalin | VanillaTF2.org
STEAM_0:1:18629611,KillAri
STEAM_0:1:22595580,shrike
STEAM_0:1:16625648,Lukeyye
STEAM_0:0:26605378,Shifty | logs.tf
STEAM_0:1:741224,furbo | logs.tf
STEAM_0:1:20804840,elem.v Kastos
STEAM_0:0:13708020,zooob | logs.tf
STEAM_0:1:24171148,You Must Mike d:)!!!.kwm ring
STEAM_0:0:9111892,Darkstar
STEAM_0:0:23224229,Noodle
STEAM_0:1:19344397,.Lunacide
STEAM_0:1:23595195,indust+
STEAM_0:1:25503487,.k.L
STEAM_0:0:5234969,Mumbo
STEAM_0:0:26733772,Madoff
STEAM_0:1:15639615,||AG|| ClandestinePz
STEAM_0:1:38909806,JOE :3
STEAM_0:0:10173532,HeepHoP lfT
STEAM_0:0:546579,=(eGO)= Wilson!!
STEAM_0:0:18889814,elem.v e-thug
STEAM_0:1:741224,furbo | logs.tf
STEAM_0:1:22595580,shrike
STEAM_0:0:26605378,Shifty | logs.tf
STEAM_0:1:18629611,KillAri
STEAM_0:1:16625648,Lukeyye
STEAM_0:1:17494569,Hildreth | logs.tf
STEAM_0:0:24507746,Ritalin | VanillaTF2.org
STEAM_0:1:18284023,elem.v WAR
STEAM_0:1:40009526,sheepy | logs.tf
STEAM_0:0:13708020,zooob | logs.tf
STEAM_0:1:20804840,elem.v Kastos
STEAM_0:0:22105200,MInd
STEAM_0:1:19209423,Tumpelol
STEAM_0:1:4111867,k00di
STEAM_0:1:26402823,CAUHTHP<3
STEAM_0:0:18795520,mort
STEAM_0:1:16298316,TroX
STEAM_0:1:10520597,Lutunen Jose
STEAM_0:0:11305575,d1egos
STEAM_0:0:19010519,Spicy
STEAM_0:0:20357422,sid
STEAM_0:0:427584,Santtu
STEAM_0:0:15611394,hamster^
STEAM_0:1:27378618,AT| spooge
STEAM_0:1:14494712,AT| eXtreaL
STEAM_0:0:7759167,AT| iAwp
STEAM_0:1:32813,AT| SiTeHBu0mbb
STEAM_0:0:15074431,AT| Califax
STEAM_0:0:48948193,reV. Maffi
STEAM_0:0:48964075,reV. alba
STEAM_0:0:23082439,reV. Rdios
STEAM_0:0:8120372,reV. BÄR!
STEAM_0:0:49012517,reV. IZÖN! :7
STEAM_0:1:496215,AT| GiBiX :3
STEAM_0:0:16307778,reV. B0nesaw
STEAM_0:0:7759167,AT| iAwp
STEAM_0:1:32813,AT| SiTeHBu0mbb
STEAM_0:1:496215,AT| GiBiX :3
STEAM_0:0:15074431,AT| Califax
STEAM_0:1:27378618,AT| spooge
STEAM_0:0:20357422,sid
STEAM_0:0:19010519,Spicy
STEAM_0:0:11305575,d1egos
STEAM_0:1:16298316,TroX
STEAM_0:0:15611394,hamster^
STEAM_0:0:18795520,mort
STEAM_0:1:14494712,AT| eXtreaL
STEAM_0:1:27378618,AT| spooge
STEAM_0:1:496215,AT| GiBiX :3
STEAM_0:0:20357422,sid
STEAM_0:1:32813,AT| SiTeHBu0mbb
STEAM_0:0:15611394,hamster^
STEAM_0:0:11305575,d1egos
STEAM_0:1:14494712,AT| eXtreaL
STEAM_0:0:15074431,AT| Califax
STEAM_0:1:16298316,TroX
STEAM_0:0:19010519,Spicy
STEAM_0:0:7759167,AT| iAwp
STEAM_0:0:18795520,mort
STEAM_0:0:28122866,REVEAL' OVERWERK
STEAM_0:0:20297383,TP lamei
STEAM_0:1:22988688,Just panic./mix/merc.
STEAM_0:0:29858113,Keeway
STEAM_0:0:20574007,DICKWOMEN
STEAM_0:0:21292151,Dr. Phil
STEAM_0:0:36042,Oneflow
STEAM_0:0:363407,SuperFly-
STEAM_0:1:11432504,crizzl
STEAM_0:0:38660,F2
STEAM_0:1:15313546,Natural
STEAM_0:1:16191999,Kazachu
STEAM_0:1:16806356,[ewe] crouton
STEAM_0:1:15785484,KLar.
STEAM_0:1:611783,Tack
STEAM_0:1:3538845,Doc.Snyyppis
STEAM_0:0:14893281,Old_Grandma
STEAM_0:1:12867014,› r
STEAM_0:1:23868850,Doc.Stark
STEAM_0:1:17867032,Doc.Spin
STEAM_0:1:6251004,Origo
STEAM_0:0:194168,Fish
STEAM_0:0:4132906,Markfsr
STEAM_0:0:19908150,twitch.tv/huhytf2
STEAM_0:0:16858056,Epsilon The Voice
STEAM_0:1:23868850,Doc.Stark
STEAM_0:0:34332958,sick gammor turned aimless scou
STEAM_0:1:65739,Doc.Arx [大]
STEAM_0:1:19352804,Allyy*
STEAM_0:1:1895232,Epsilon Mike
STEAM_0:1:12124893,Epsilon KnOxXx
STEAM_0:1:16347045,Epsilon numlocked
STEAM_0:1:3538845,Doc.Snyyppis
STEAM_0:0:7758035,Doc. Spary
STEAM_0:1:15829615,Epsilon HARALD
STEAM_0:1:8366654,Epsilon GeaR
STEAM_0:1:16347045,Epsilon numlocked
STEAM_0:1:15829615,Epsilon HARALD
STEAM_0:1:12124893,Epsilon KnOxXx
STEAM_0:1:3538845,Doc.Snyyppis
STEAM_0:1:1895232,Epsilon Mike
STEAM_0:1:8366654,Epsilon GeaR
STEAM_0:1:23868850,Doc.Stark
STEAM_0:1:65739,Doc.Arx [大]
STEAM_0:0:16858056,Epsilon The Voice
STEAM_0:0:7758035,Doc. Spary
STEAM_0:0:34332958,sick gammor turned aimless scou
STEAM_0:1:19352804,Allyy*
STEAM_0:0:19908150,cc//huhy
STEAM_0:0:4132906,Markfsr
STEAM_0:0:194168,Fish
STEAM_0:1:16806356,[ewe] crouton
STEAM_0:1:611783,Tack
STEAM_0:1:6251004,Origo
STEAM_0:1:12867014,› r
STEAM_0:1:17867032,Doc.Spin
STEAM_0:1:3538845,Doc.Snyyppis
STEAM_0:1:15785484,KLar.
STEAM_0:1:23868850,Doc.Stark
STEAM_0:0:14893281,Old_Grandma
