steam_id,alias
STEAM_0:1:18801756,PyRo|GEN DeGuN
STEAM_0:1:741224,furbo | logs.tf
STEAM_0:0:16327666,payard
STEAM_0:0:26605378,Shifty | logs.tf
STEAM_0:1:25727999,AVENUE Septique
STEAM_0:1:4541761,kukkye
STEAM_0:0:5600897,BEAR GRYLLS
STEAM_0:1:19241924,AVENUE Hamster
STEAM_0:1:1524315,kaidus
STEAM_0:1:8589161,BeaVerN  | merc
STEAM_0:0:20805809,Zebbosai
STEAM_0:1:60619,AVENUE skeej
STEAM_0:0:132247,AVENUE wolve
STEAM_0:1:18696761,Darn!
STEAM_0:0:4869176,droso
STEAM_0:1:18504112,mirelin
STEAM_0:1:12336582,!myDGB.net si^ :3
STEAM_0:0:26431514,minifaggot crackclan.com/tf2
STEAM_0:0:15653274,!myDGB.net kileR4funN' :P
STEAM_0:1:42172826,!myDGB.net RisinG4funN' :P
STEAM_0:0:154182,Admirable crackclan.com/tf2
STEAM_0:1:1855127,!myDGB.net Haunter  >: )
STEAM_0:0:17757495,Mario Götze
STEAM_0:0:8520477,TviQ Crackclan.com/tf2
STEAM_0:1:13810602,t0dA
STEAM_0:0:27788728,ipz- crackclan.com/tf2
STEAM_0:1:7535486,minimoose crackclan.com/tf2
STEAM_0:0:3298715,!myDGB.net Coinz
STEAM_0:0:27788728,ipz- crackclan.com/tf2
STEAM_0:0:15653274,!myDGB.net kileR4funN' :P
STEAM_0:0:26431514,minifaggot crackclan.com/tf2
STEAM_0:1:7535486,minimoose crackclan.com/tf2
STEAM_0:0:154182,Admirable crackclan.com/tf2
STEAM_0:0:8520477,TviQ Crackclan.com/tf2
STEAM_0:1:1855127,!myDGB.net Haunter  >: )
STEAM_0:1:42172826,!myDGB.net RisinG4funN' :P
STEAM_0:0:3298715,!myDGB.net Coinz
STEAM_0:0:17757495,Mario Götze
STEAM_0:1:12336582,!myDGB.net si^ :3
STEAM_0:1:13810602,t0dA
STEAM_0:0:27788728,ipz- crackclan.com/tf2
STEAM_0:0:8520477,TviQ Crackclan.com/tf2
STEAM_0:1:13977850,Impera. Spike
STEAM_0:1:7535486,minimoose ipz's boys
STEAM_0:0:18348395,Impera. Khronus
STEAM_0:0:26431514,minichoker crackclan.com/tf2
STEAM_0:0:17757495,Mario Götze
STEAM_0:0:154182,Admirable crackclan.com/tf2
STEAM_0:1:17497781,Impera. Siko
STEAM_0:0:17057190,ALONSO Nº1
STEAM_0:0:22334034,Impera. Rosselo
STEAM_0:0:23355598,Impera. acabao
STEAM_0:1:7535486,minimoose crackclan.com/tf2
STEAM_0:1:13977850,Impera. Spike
STEAM_0:0:26431514,minichoker crackclan.com/tf2
STEAM_0:0:8520477,TviQ Crackclan.com/tf2
STEAM_0:0:154182,Admirable crackclan.com/tf2
STEAM_0:1:17497781,Impera. Siko
STEAM_0:0:18348395,Impera. Khronus
STEAM_0:0:17757495,Mario Götze
STEAM_0:0:27788728,ipz- crackclan.com/tf2
STEAM_0:0:22334034,Impera. Rosselo
STEAM_0:0:17057190,ALONSO Nº1
STEAM_0:0:23355598,Impera. acabao
STEAM_0:1:12336582,!myDGB.net si^ :3
STEAM_0:0:26431514,minifaggot crackclan.com/tf2
STEAM_0:0:15653274,!myDGB.net kileR4funN' :P
STEAM_0:1:42172826,!myDGB.net RisinG4funN' :P
STEAM_0:0:154182,Admirable crackclan.com/tf2
STEAM_0:1:1855127,!myDGB.net Haunter  >: )
STEAM_0:0:17757495,Mario Götze
STEAM_0:0:8520477,TviQ Crackclan.com/tf2
STEAM_0:1:13810602,t0dA
STEAM_0:0:27788728,ipz- crackclan.com/tf2
STEAM_0:1:7535486,minimoose crackclan.com/tf2
STEAM_0:0:3298715,!myDGB.net Coinz
STEAM_0:0:27788728,ipz- crackclan.com/tf2
STEAM_0:0:15653274,!myDGB.net kileR4funN' :P
STEAM_0:0:26431514,minifaggot crackclan.com/tf2
STEAM_0:1:7535486,minimoose crackclan.com/tf2
STEAM_0:0:154182,Admirable crackclan.com/tf2
STEAM_0:0:8520477,TviQ Crackclan.com/tf2
STEAM_0:1:1855127,!myDGB.net Haunter  >: )
STEAM_0:1:42172826,!myDGB.net RisinG4funN' :P
STEAM_0:0:3298715,!myDGB.net Coinz
STEAM_0:0:17757495,Mario Götze
STEAM_0:1:12336582,!myDGB.net si^ :3
STEAM_0:1:13810602,t0dA
STEAM_0:0:27788728,ipz- crackclan.com/tf2
STEAM_0:0:8520477,TviQ Crackclan.com/tf2
STEAM_0:1:13977850,Impera. Spike
STEAM_0:1:7535486,minimoose ipz's boys
STEAM_0:0:18348395,Impera. Khronus
STEAM_0:0:26431514,minichoker crackclan.com/tf2
STEAM_0:0:17757495,Mario Götze
STEAM_0:0:154182,Admirable crackclan.com/tf2
STEAM_0:1:17497781,Impera. Siko
STEAM_0:0:17057190,ALONSO Nº1
STEAM_0:0:22334034,Impera. Rosselo
STEAM_0:0:23355598,Impera. acabao
STEAM_0:1:7535486,minimoose crackclan.com/tf2
STEAM_0:1:13977850,Impera. Spike
STEAM_0:0:26431514,minichoker crackclan.com/tf2
STEAM_0:0:8520477,TviQ Crackclan.com/tf2
STEAM_0:0:154182,Admirable crackclan.com/tf2
STEAM_0:1:17497781,Impera. Siko
STEAM_0:0:18348395,Impera. Khronus
STEAM_0:0:17757495,Mario Götze
STEAM_0:0:27788728,ipz- crackclan.com/tf2
STEAM_0:0:22334034,Impera. Rosselo
STEAM_0:0:17057190,ALONSO Nº1
STEAM_0:0:23355598,Impera. acabao
STEAM_0:0:20357422,sid
STEAM_0:1:17384139,tomzi
STEAM_0:1:17005784,bfaalizeè.
STEAM_0:0:15611394,hamster^
STEAM_0:0:11305575,d1egos
STEAM_0:0:19010519,Spicy
STEAM_0:0:15206122,druidz. dis
STEAM_0:1:1957744,Druidz. Calump
STEAM_0:1:16298316,TroX
STEAM_0:1:15300059,Dr|_|1dz. 537L37 ( ͡° ͜ʖ ͡
STEAM_0:0:18795520,mort
STEAM_0:0:16590687,Druidz. Antwuan
STEAM_0:0:11305575,d1egos
STEAM_0:0:15611394,hamster^
STEAM_0:1:17384139,tomzi
STEAM_0:0:16590687,Druidz. Antwuan
STEAM_0:0:15206122,druidz. dis
STEAM_0:1:17005784,bfaalizeè.
STEAM_0:0:18795520,mort
STEAM_0:1:1957744,Druidz. Calump
STEAM_0:1:15300059,Dr|_|1dz. 537L37 ( ͡° ͜ʖ ͡
STEAM_0:0:19010519,Spicy
STEAM_0:0:20357422,sid
STEAM_0:1:16298316,TroX
STEAM_0:0:11305575,d1egos
STEAM_0:0:15611394,hamster^
STEAM_0:1:17384139,tomzi
STEAM_0:0:16590687,Druidz. Antwuan
STEAM_0:0:15206122,druidz. dis
STEAM_0:1:17005784,bfaalizeè.
STEAM_0:0:18795520,mort
STEAM_0:1:1957744,Druidz. Calump
STEAM_0:1:15300059,Dr|_|1dz. 537L37 ( ͡° ͜ʖ ͡
STEAM_0:0:19010519,Spicy
STEAM_0:0:20357422,sid
STEAM_0:1:16298316,TroX
STEAM_0:0:11305575,d1egos
STEAM_0:0:15611394,hamster^
STEAM_0:1:17384139,tomzi
STEAM_0:0:16590687,Druidz. Antwuan
STEAM_0:0:15206122,druidz. dis
STEAM_0:1:17005784,bfaalizeè.
STEAM_0:0:18795520,mort
STEAM_0:1:1957744,Druidz. Calump
STEAM_0:1:15300059,Dr|_|1dz. 537L37 ( ͡° ͜ʖ ͡
STEAM_0:0:19010519,Spicy
STEAM_0:0:20357422,sid
STEAM_0:1:16298316,TroX
STEAM_0:0:20357422,sid
STEAM_0:1:17384139,tomzi
STEAM_0:1:17005784,bfaalizeè.
STEAM_0:0:15611394,hamster^
STEAM_0:0:11305575,d1egos
STEAM_0:0:19010519,Spicy
STEAM_0:0:15206122,druidz. dis
STEAM_0:1:1957744,Druidz. Calump
STEAM_0:1:16298316,TroX
STEAM_0:1:15300059,Dr|_|1dz. 537L37 ( ͡° ͜ʖ ͡
STEAM_0:0:18795520,mort
STEAM_0:0:16590687,Druidz. Antwuan
STEAM_0:0:13708020,zooob | logs.tf
STEAM_0:1:741224,furbo | logs.tf
STEAM_0:0:18795520,mort
STEAM_0:1:17494569,Hildreth | logs.tf
STEAM_0:0:20357422,sid
STEAM_0:0:19010519,Spicy
STEAM_0:0:11305575,d1egos
STEAM_0:1:16298316,TroX
STEAM_0:1:40009526,sheepy | logs.tf
STEAM_0:0:15611394,hamster^
STEAM_0:0:24507746,Ritalin | VanillaTF2.org
STEAM_0:0:26605378,Shifty | logs.tf
STEAM_0:1:741224,furbo | logs.tf
STEAM_0:0:13708020,zooob | logs.tf
STEAM_0:1:17494569,Hildreth | logs.tf
STEAM_0:0:24507746,Ritalin | VanillaTF2.org
STEAM_0:0:18795520,mort
STEAM_0:0:11305575,d1egos
STEAM_0:1:16298316,TroX
STEAM_0:0:20357422,sid
STEAM_0:0:26605378,Shifty | logs.tf
STEAM_0:0:15611394,hamster^
