ID,Label,Count
[U:1:871654156],[U:1:871654156],394
[U:1:1138349675],[U:1:1138349675],254
[U:1:117851625],[U:1:117851625],197
[U:1:60041273],[U:1:60041273],10
[U:1:101041742],[U:1:101041742],62
[U:1:464133134],[U:1:464133134],59
[U:1:325797125],[U:1:325797125],145
[U:1:259786815],[U:1:259786815],81
[U:1:350659807],[U:1:350659807],3
[U:1:1104729491],[U:1:1104729491],137
[U:1:123845754],[U:1:123845754],230
[U:1:87370401],[U:1:87370401],237
[U:1:876175154],[U:1:876175154],269
[U:1:202339043],[U:1:202339043],203
[U:1:25906642],[U:1:25906642],16
[U:1:186983189],[U:1:186983189],18
[U:1:423115420],[U:1:423115420],422
[U:1:155060312],[U:1:155060312],321
[U:1:119994838],[U:1:119994838],24
[U:1:456850769],[U:1:456850769],39
[U:1:361745153],[U:1:361745153],54
[U:1:149317609],[U:1:149317609],76
[U:1:283686598],[U:1:283686598],171
[U:1:131277951],[U:1:131277951],82
[U:1:128529039],[U:1:128529039],71
[U:1:143348972],[U:1:143348972],384
[U:1:50408104],[U:1:50408104],149
[U:1:449613085],[U:1:449613085],161
[U:1:120563179],[U:1:120563179],83
[U:1:103548491],[U:1:103548491],157
[U:1:135452205],[U:1:135452205],239
[U:1:93350099],[U:1:93350099],193
[U:1:162398249],[U:1:162398249],365
[U:1:216793757],[U:1:216793757],169
[U:1:285229424],[U:1:285229424],289
[U:1:119548832],[U:1:119548832],352
[U:1:353553399],[U:1:353553399],338
[U:1:140176273],[U:1:140176273],279
[U:1:34908867],[U:1:34908867],107
[U:1:241815391],[U:1:241815391],60
[U:1:119862836],[U:1:119862836],271
[U:1:14574096],[U:1:14574096],62
[U:1:181206593],[U:1:181206593],293
[U:1:330517268],[U:1:330517268],190
[U:1:163789798],[U:1:163789798],277
[U:1:119443628],[U:1:119443628],131
[U:1:109869215],[U:1:109869215],336
[U:1:51216944],[U:1:51216944],87
[U:1:115028932],[U:1:115028932],51
[U:1:48284703],[U:1:48284703],184
[U:1:42954103],[U:1:42954103],625
[U:1:242339653],[U:1:242339653],37
[U:1:151729549],[U:1:151729549],382
[U:1:347917602],[U:1:347917602],676
[U:1:163739560],[U:1:163739560],915
[U:1:423482580],[U:1:423482580],53
[U:1:104307922],[U:1:104307922],158
[U:1:132092179],[U:1:132092179],45
[U:1:863260853],[U:1:863260853],346
[U:1:354216630],[U:1:354216630],30
[U:1:230602398],[U:1:230602398],138
[U:1:150568629],[U:1:150568629],712
[U:1:242658929],[U:1:242658929],397
[U:1:193923480],[U:1:193923480],128
[U:1:145057401],[U:1:145057401],501
[U:1:236419358],[U:1:236419358],235
[U:1:198418431],[U:1:198418431],225
[U:1:178011538],[U:1:178011538],405
[U:1:66433899],[U:1:66433899],44
[U:1:147984817],[U:1:147984817],118
[U:1:122256279],[U:1:122256279],20
[U:1:118758944],[U:1:118758944],203
[U:1:94924310],[U:1:94924310],268
[U:1:95187212],[U:1:95187212],109
[U:1:368558514],[U:1:368558514],142
[U:1:213704533],[U:1:213704533],227
[U:1:42724440],[U:1:42724440],54
[U:1:40605310],[U:1:40605310],93
[U:1:942213654],[U:1:942213654],194
[U:1:15971572],[U:1:15971572],178
[U:1:189720202],[U:1:189720202],175
[U:1:108833123],[U:1:108833123],279
[U:1:86015117],[U:1:86015117],266
[U:1:196094055],[U:1:196094055],85
[U:1:322269797],[U:1:322269797],189
[U:1:145442096],[U:1:145442096],117
[U:1:160399721],[U:1:160399721],178
[U:1:88335137],[U:1:88335137],184
[U:1:331512765],[U:1:331512765],370
[U:1:167242667],[U:1:167242667],209
[U:1:13955615],[U:1:13955615],191
[U:1:410015302],[U:1:410015302],436
[U:1:158598683],[U:1:158598683],431
[U:1:69530488],[U:1:69530488],292
[U:1:304436357],[U:1:304436357],387
[U:1:182401662],[U:1:182401662],241
[U:1:65304087],[U:1:65304087],311
[U:1:141728739],[U:1:141728739],407
[U:1:106567849],[U:1:106567849],312
