ID,Label,Count
[U:1:917725915],Nachos252,29
[U:1:420157053],zeus,52
[U:1:383386188],Lynux,77
[U:1:231194830],mlbonyy,39
[U:1:85386911],Samuel,167
[U:1:191550405],Gabriel,140
[U:1:918624932],Juan.Fortnite.2008,40
[U:1:422919298],Shaggy,50
[U:1:356431810],Rakey,47
[U:1:379851704],Yoshimi Battles,9
[U:1:365616453],delta del bienestar familiar,42
[U:1:151869681],Penguin Legs,31
[U:1:108465252],Neon,53
[U:1:134806456],shpee,323
[U:1:312322278],Reus,220
[U:1:132818658],Wargasm,15
[U:1:208631436],AJ,40
[U:1:130285989],HunchO,169
[U:1:34254115],A. Lumberjack #TF2Center,3
[U:1:89587820],Jt,28
[U:1:207950441],EclipseTF,36
[U:1:164197412],Boyo,110
[U:1:206447143],The Maggot Guy,1
[U:1:335069357],Candy Canes &lt;3,108
[U:1:182775305],Dinkerz111,1
[U:1:92903471],Thinkin&#39; Goop,1
[U:1:92233557],Magnitite,49
[U:1:58987070],Bliztank,5
[U:1:97551661],Über Pyro,2
[U:1:155089474],Mqbry,37
[U:1:94655831],xandy,63
[U:1:29296776],mobil (scout),40
[U:1:99259440],kowala,12
[U:1:128110557],SCOTT,61
[U:1:103105268],greenking,105
[U:1:83647829],Shim,7
[U:1:125181536],um,481
[U:1:80998509],robin,24
[U:1:307484755],kristof,258
[U:1:113498544],sekiy,97
[U:1:68305241],hawaii,23
[U:1:292377922],DW,13
[U:1:155893616],Apolo,291
[U:1:34394789],Liko,188
[U:1:21679260],TwiggyWan Kenobi,335
[U:1:86057862],P1atypus,257
[U:1:114794540],Yvng Pierre,84
[U:1:242894372],Per-Cent00,134
[U:1:201926809],pnda,141
[U:1:101272782],aIM,197
[U:1:1010553667],Quacked,76
[U:1:94124777],nox,24
[U:1:81664703],Unremarkable marks,7
[U:1:133263454],wya,27
[U:1:110233432],Knuckles,50
[U:1:128925007],Yup-,121
[U:1:143766359],TETRA,54
[U:1:132770941],Maccy,28
[U:1:165578211],Mona,250
[U:1:198951342],An_Kangaroo,168
[U:1:315288994],amin girl,4
[U:1:85285969],strato_,4
[U:1:74400923],Ampy,294
[U:1:184867074],smo,219
[U:1:96525192],Domo,215
[U:1:160995253],Hugo,268
[U:1:65786988],z0diack,202
[U:1:89046714],mak,289
[U:1:120833757],binkkye,29
[U:1:158628396],Skorp,171
