ID,Label,Count
[U:1:117579832],[U:1:117579832],450
[U:1:101328438],[U:1:101328438],450
[U:1:194453376],[U:1:194453376],449
[U:1:335189172],[U:1:335189172],447
[U:1:87548232],[U:1:87548232],445
[U:1:103190760],[U:1:103190760],441
[U:1:95921022],[U:1:95921022],441
[U:1:85651810],[U:1:85651810],441
[U:1:867637482],[U:1:867637482],441
[U:1:134795814],[U:1:134795814],441
[U:1:299553684],[U:1:299553684],440
[U:1:131340735],[U:1:131340735],440
[U:1:135938880],[U:1:135938880],439
[U:1:301530244],[U:1:301530244],438
[U:1:165682116],[U:1:165682116],438
[U:1:146334357],[U:1:146334357],437
[U:1:189177982],[U:1:189177982],437
[U:1:66630323],[U:1:66630323],436
[U:1:230200242],[U:1:230200242],436
[U:1:410015302],[U:1:410015302],436
[U:1:2543259],[U:1:2543259],436
[U:1:256867909],[U:1:256867909],436
[U:1:173350930],[U:1:173350930],435
[U:1:113364548],[U:1:113364548],435
[U:1:124317270],[U:1:124317270],434
[U:1:31135245],[U:1:31135245],433
[U:1:106547360],[U:1:106547360],433
[U:1:124395678],[U:1:124395678],432
[U:1:85515502],[U:1:85515502],432
[U:1:99127067],[U:1:99127067],432
[U:1:173621389],[U:1:173621389],432
[U:1:158598683],[U:1:158598683],431
[U:1:476310171],[U:1:476310171],431
[U:1:109020946],[U:1:109020946],431
[U:1:319937700],[U:1:319937700],431
[U:1:287261850],[U:1:287261850],430
[U:1:179210630],[U:1:179210630],430
[U:1:251048051],[U:1:251048051],429
[U:1:165246208],[U:1:165246208],429
[U:1:126601516],[U:1:126601516],428
[U:1:16284945],[U:1:16284945],428
[U:1:110370003],[U:1:110370003],426
[U:1:93813475],[U:1:93813475],425
[U:1:249149572],[U:1:249149572],424
[U:1:99310234],[U:1:99310234],424
[U:1:119147003],[U:1:119147003],424
[U:1:1006995614],[U:1:1006995614],423
[U:1:423115420],[U:1:423115420],422
[U:1:156276611],[U:1:156276611],422
[U:1:883011912],[U:1:883011912],421
[U:1:367944796],[U:1:367944796],420
[U:1:359745031],[U:1:359745031],420
[U:1:247981557],[U:1:247981557],420
[U:1:84543400],[U:1:84543400],420
[U:1:31512563],[U:1:31512563],418
[U:1:96968119],[U:1:96968119],418
[U:1:83344404],[U:1:83344404],418
[U:1:99746960],[U:1:99746960],418
[U:1:82329518],[U:1:82329518],417
[U:1:231707323],[U:1:231707323],414
[U:1:44136002],[U:1:44136002],414
[U:1:75900538],[U:1:75900538],413
[U:1:152743786],[U:1:152743786],413
[U:1:1029158441],[U:1:1029158441],412
[U:1:159996735],[U:1:159996735],411
[U:1:1095956693],[U:1:1095956693],411
[U:1:113271007],[U:1:113271007],411
[U:1:127656427],[U:1:127656427],411
[U:1:67905517],[U:1:67905517],410
[U:1:241722507],[U:1:241722507],410
[U:1:416118261],[U:1:416118261],410
[U:1:86645888],[U:1:86645888],410
[U:1:382304800],[U:1:382304800],410
[U:1:172371828],[U:1:172371828],409
[U:1:58364493],[U:1:58364493],409
[U:1:108048682],[U:1:108048682],408
[U:1:57273876],[U:1:57273876],408
[U:1:130663236],[U:1:130663236],408
[U:1:141728739],[U:1:141728739],407
[U:1:109702983],[U:1:109702983],407
[U:1:906727263],[U:1:906727263],407
[U:1:371064049],[U:1:371064049],406
[U:1:178011538],[U:1:178011538],405
[U:1:85139576],[U:1:85139576],404
[U:1:69115311],[U:1:69115311],403
[U:1:40714804],[U:1:40714804],402
[U:1:325575405],[U:1:325575405],401
[U:1:65304245],[U:1:65304245],401
[U:1:124711844],[U:1:124711844],401
[U:1:211353714],[U:1:211353714],399
[U:1:275843996],[U:1:275843996],399
[U:1:111726247],[U:1:111726247],398
[U:1:242658929],[U:1:242658929],397
[U:1:71652445],[U:1:71652445],396
[U:1:422027245],[U:1:422027245],396
[U:1:100514383],[U:1:100514383],396
[U:1:871654156],[U:1:871654156],394
[U:1:84578794],[U:1:84578794],394
[U:1:152818042],[U:1:152818042],394
[U:1:235367539],[U:1:235367539],394
[U:1:256221812],[U:1:256221812],393
[U:1:110438317],[U:1:110438317],393
[U:1:79175849],[U:1:79175849],392
[U:1:212783251],[U:1:212783251],392
[U:1:154775687],[U:1:154775687],392
[U:1:1015995764],[U:1:1015995764],392
[U:1:104485840],[U:1:104485840],391
[U:1:151429329],[U:1:151429329],391
[U:1:206809878],[U:1:206809878],390
[U:1:123790711],[U:1:123790711],390
[U:1:183883730],[U:1:183883730],389
[U:1:100941416],[U:1:100941416],388
[U:1:150395697],[U:1:150395697],388
[U:1:101449025],[U:1:101449025],388
[U:1:304436357],[U:1:304436357],387
[U:1:35913780],[U:1:35913780],387
[U:1:241073429],[U:1:241073429],387
[U:1:250513073],[U:1:250513073],387
[U:1:108053936],[U:1:108053936],386
[U:1:208496026],[U:1:208496026],385
[U:1:188460774],[U:1:188460774],385
[U:1:143348972],[U:1:143348972],384
[U:1:872519857],[U:1:872519857],383
[U:1:70138424],[U:1:70138424],383
[U:1:151729549],[U:1:151729549],382
[U:1:111151865],[U:1:111151865],382
[U:1:101810142],[U:1:101810142],381
[U:1:107029340],[U:1:107029340],381
[U:1:356273252],[U:1:356273252],381
[U:1:39908161],[U:1:39908161],381
[U:1:180342878],[U:1:180342878],380
[U:1:161853595],[U:1:161853595],380
[U:1:94360484],[U:1:94360484],379
[U:1:38182809],[U:1:38182809],379
[U:1:149833746],[U:1:149833746],377
[U:1:407966123],[U:1:407966123],377
[U:1:84500845],[U:1:84500845],377
[U:1:132262126],[U:1:132262126],376
[U:1:90360948],[U:1:90360948],376
[U:1:419917281],[U:1:419917281],375
[U:1:1019228324],[U:1:1019228324],375
[U:1:105391228],[U:1:105391228],374
[U:1:49552684],[U:1:49552684],374
[U:1:277427],[U:1:277427],374
[U:1:867147875],[U:1:867147875],373
[U:1:350242480],[U:1:350242480],372
[U:1:112621228],[U:1:112621228],372
[U:1:348546148],[U:1:348546148],372
[U:1:877048879],[U:1:877048879],372
[U:1:130240722],[U:1:130240722],371
[U:1:190301470],[U:1:190301470],371
[U:1:105326214],[U:1:105326214],371
[U:1:144190081],[U:1:144190081],371
[U:1:438469810],[U:1:438469810],371
[U:1:1041910120],[U:1:1041910120],371
[U:1:331512765],[U:1:331512765],370
[U:1:117668615],[U:1:117668615],370
[U:1:50160324],[U:1:50160324],370
[U:1:76059836],[U:1:76059836],370
[U:1:189795039],[U:1:189795039],369
[U:1:212013547],[U:1:212013547],369
[U:1:32732850],[U:1:32732850],369
[U:1:298138742],[U:1:298138742],368
[U:1:176276148],[U:1:176276148],368
[U:1:102362203],[U:1:102362203],367
[U:1:108803099],[U:1:108803099],367
[U:1:108178132],[U:1:108178132],366
[U:1:83489966],[U:1:83489966],366
[U:1:162398249],[U:1:162398249],365
[U:1:104445937],[U:1:104445937],365
[U:1:49730277],[U:1:49730277],364
[U:1:84886322],[U:1:84886322],364
[U:1:118673968],[U:1:118673968],364
[U:1:67344886],[U:1:67344886],363
[U:1:74608787],[U:1:74608787],363
[U:1:161368092],[U:1:161368092],363
[U:1:108933898],[U:1:108933898],363
[U:1:172349231],[U:1:172349231],362
[U:1:295643775],[U:1:295643775],361
[U:1:296417871],[U:1:296417871],361
[U:1:40848566],[U:1:40848566],360
[U:1:841048872],[U:1:841048872],360
[U:1:239737131],[U:1:239737131],360
[U:1:34023390],[U:1:34023390],359
[U:1:118744021],[U:1:118744021],359
[U:1:73130293],[U:1:73130293],359
[U:1:103295812],[U:1:103295812],358
[U:1:217435131],[U:1:217435131],358
[U:1:86449971],[U:1:86449971],358
[U:1:387552830],[U:1:387552830],357
[U:1:440251596],[U:1:440251596],357
[U:1:64944615],[U:1:64944615],357
[U:1:86681866],[U:1:86681866],356
[U:1:129425951],[U:1:129425951],356
[U:1:162288532],[U:1:162288532],356
[U:1:435312079],[U:1:435312079],356
[U:1:93218707],[U:1:93218707],355
[U:1:243839237],[U:1:243839237],355
[U:1:389277222],[U:1:389277222],355
[U:1:47489364],[U:1:47489364],354
[U:1:255294112],[U:1:255294112],354
[U:1:139197978],[U:1:139197978],354
[U:1:80080450],[U:1:80080450],354
[U:1:98744527],[U:1:98744527],353
[U:1:151404046],[U:1:151404046],353
[U:1:204344441],[U:1:204344441],353
[U:1:143198708],[U:1:143198708],353
[U:1:119548832],[U:1:119548832],352
[U:1:320598088],[U:1:320598088],352
[U:1:164506816],[U:1:164506816],352
[U:1:296852714],[U:1:296852714],352
[U:1:100750567],[U:1:100750567],351
[U:1:188596904],[U:1:188596904],351
[U:1:57017634],[U:1:57017634],351
[U:1:181627147],[U:1:181627147],351
[U:1:154279630],[U:1:154279630],351
[U:1:328225513],[U:1:328225513],349
[U:1:82804098],[U:1:82804098],349
[U:1:122336701],[U:1:122336701],349
[U:1:103010039],[U:1:103010039],348
[U:1:96664776],[U:1:96664776],348
[U:1:197717452],[U:1:197717452],348
[U:1:75405621],[U:1:75405621],347
[U:1:277904552],[U:1:277904552],347
[U:1:157311741],[U:1:157311741],347
[U:1:863260853],[U:1:863260853],346
[U:1:247300260],[U:1:247300260],346
[U:1:66694917],[U:1:66694917],346
[U:1:141667583],[U:1:141667583],346
[U:1:89207115],[U:1:89207115],345
[U:1:42699272],[U:1:42699272],345
[U:1:101320364],[U:1:101320364],344
[U:1:156752614],[U:1:156752614],344
[U:1:461647920],[U:1:461647920],344
[U:1:204510198],[U:1:204510198],344
[U:1:171435562],[U:1:171435562],343
[U:1:97296227],[U:1:97296227],343
[U:1:188690595],[U:1:188690595],343
[U:1:135747267],[U:1:135747267],343
[U:1:85086904],[U:1:85086904],342
[U:1:160373133],[U:1:160373133],342
[U:1:229896039],[U:1:229896039],341
[U:1:994170784],[U:1:994170784],341
[U:1:202970324],[U:1:202970324],341
[U:1:251590163],[U:1:251590163],341
[U:1:29484507],[U:1:29484507],340
[U:1:161656685],[U:1:161656685],340
[U:1:44129176],[U:1:44129176],339
[U:1:145092233],[U:1:145092233],339
[U:1:353553399],[U:1:353553399],338
[U:1:154338017],[U:1:154338017],338
[U:1:35993884],[U:1:35993884],338
[U:1:125098066],[U:1:125098066],337
[U:1:47762820],[U:1:47762820],337
[U:1:275745466],[U:1:275745466],337
[U:1:1090182064],[U:1:1090182064],337
[U:1:88513379],[U:1:88513379],337
[U:1:141791114],[U:1:141791114],337
[U:1:109869215],[U:1:109869215],336
[U:1:117883582],[U:1:117883582],335
[U:1:319511303],[U:1:319511303],335
[U:1:21679260],[U:1:21679260],335
[U:1:97206140],[U:1:97206140],335
[U:1:324966890],[U:1:324966890],335
[U:1:83864372],[U:1:83864372],335
[U:1:128828742],[U:1:128828742],334
[U:1:155280002],[U:1:155280002],334
[U:1:396627941],[U:1:396627941],334
[U:1:213870269],[U:1:213870269],334
[U:1:185199867],[U:1:185199867],334
[U:1:155555403],[U:1:155555403],333
[U:1:86507104],[U:1:86507104],333
[U:1:38346266],[U:1:38346266],333
[U:1:215669943],[U:1:215669943],333
[U:1:118005207],[U:1:118005207],333
[U:1:375768464],[U:1:375768464],332
[U:1:30575700],[U:1:30575700],332
[U:1:51159643],[U:1:51159643],332
[U:1:34284979],[U:1:34284979],331
[U:1:174827675],[U:1:174827675],330
[U:1:251775087],[U:1:251775087],330
[U:1:917774524],[U:1:917774524],330
[U:1:73429701],[U:1:73429701],329
[U:1:132170151],[U:1:132170151],327
[U:1:105611541],[U:1:105611541],327
[U:1:105648245],[U:1:105648245],326
[U:1:306130006],[U:1:306130006],326
[U:1:3151199],[U:1:3151199],325
[U:1:93355936],[U:1:93355936],325
[U:1:89567080],[U:1:89567080],325
[U:1:201138203],[U:1:201138203],324
[U:1:165324709],[U:1:165324709],324
[U:1:181478302],[U:1:181478302],324
[U:1:226832313],[U:1:226832313],324
[U:1:125059932],[U:1:125059932],323
