steam_id1,steam_id2,count
STEAM_0:0:17757495,STEAM_0:0:4869176,2
STEAM_0:0:17757495,STEAM_0:0:27788728,6
STEAM_0:0:26431514,STEAM_0:0:80198,3
STEAM_0:0:26431514,STEAM_0:0:154182,13
STEAM_0:0:26431514,STEAM_0:1:7535486,8
STEAM_0:0:26431514,STEAM_0:0:4869176,2
STEAM_0:0:26431514,STEAM_0:0:27788728,7
STEAM_0:0:80198,STEAM_0:0:154182,2
STEAM_0:0:80198,STEAM_0:1:7535486,2
STEAM_0:0:80198,STEAM_0:0:4869176,2
STEAM_0:0:80198,STEAM_0:0:27788728,2
STEAM_0:0:154182,STEAM_0:1:7535486,4
STEAM_0:0:154182,STEAM_0:0:4869176,2
STEAM_0:0:154182,STEAM_0:0:27788728,6
STEAM_0:1:7535486,STEAM_0:0:4869176,2
STEAM_0:1:7535486,STEAM_0:0:27788728,5
STEAM_0:0:4869176,STEAM_0:0:27788728,3
STEAM_0:0:4869176,STEAM_0:1:7535486,1
STEAM_0:0:4869176,STEAM_0:0:26431514,1
STEAM_0:0:4869176,STEAM_0:0:154182,1
STEAM_0:0:4869176,STEAM_0:1:1328042,1
STEAM_0:0:4869176,STEAM_0:0:17757495,1
STEAM_0:0:4869176,STEAM_0:0:8520477,1
STEAM_0:0:4869176,STEAM_0:1:282682,1
STEAM_0:0:4869176,STEAM_0:0:19151802,1
STEAM_0:0:4869176,STEAM_0:1:6165188,1
STEAM_0:0:4869176,STEAM_0:0:80198,1
STEAM_0:1:7535486,STEAM_0:0:26431514,5
STEAM_0:1:7535486,STEAM_0:0:154182,9
STEAM_0:1:7535486,STEAM_0:1:1328042,1
STEAM_0:1:7535486,STEAM_0:0:17757495,9
STEAM_0:1:7535486,STEAM_0:0:8520477,7
STEAM_0:1:7535486,STEAM_0:1:282682,1
STEAM_0:1:7535486,STEAM_0:0:19151802,1
STEAM_0:1:7535486,STEAM_0:1:6165188,1
STEAM_0:1:7535486,STEAM_0:0:80198,1
STEAM_0:0:26431514,STEAM_0:1:1328042,1
STEAM_0:0:26431514,STEAM_0:0:17757495,11
STEAM_0:0:26431514,STEAM_0:0:8520477,9
STEAM_0:0:26431514,STEAM_0:1:282682,1
STEAM_0:0:26431514,STEAM_0:0:19151802,1
STEAM_0:0:26431514,STEAM_0:1:6165188,1
STEAM_0:0:27788728,STEAM_0:0:154182,7
STEAM_0:0:27788728,STEAM_0:1:1328042,1
STEAM_0:0:27788728,STEAM_0:0:17757495,7
STEAM_0:0:27788728,STEAM_0:0:8520477,7
STEAM_0:0:27788728,STEAM_0:1:282682,1
STEAM_0:0:27788728,STEAM_0:0:19151802,1
STEAM_0:0:27788728,STEAM_0:1:6165188,1
STEAM_0:0:27788728,STEAM_0:0:80198,1
STEAM_0:0:154182,STEAM_0:1:1328042,1
STEAM_0:0:154182,STEAM_0:0:17757495,8
STEAM_0:0:154182,STEAM_0:0:8520477,5
STEAM_0:0:154182,STEAM_0:1:282682,1
STEAM_0:0:154182,STEAM_0:0:19151802,1
STEAM_0:0:154182,STEAM_0:1:6165188,1
